校名,學系名稱,採計科目及加權(含學測、分科及術科),錄取分數,平均
國立臺灣大學,中國文學系,國x1.50、英x1.25、數Bx1.00、地x1.00、歷x1.25,302.5,50.42
國立臺灣大學,外國語文學系,國x1.25、英x2.00、地x1.00、歷x1.00,281.75,53.67
國立臺灣大學,歷史學系,國x1.00、英x1.00、地x1.00、歷x1.00、公x1.00,260,52.00
國立臺灣大學,哲學系,國x1.00、英x1.00、歷x1.00、公x1.00,204,51.00
國立臺灣大學,人類學系,國x1.00、英x1.50、地x1.00、歷x1.00、公x1.00,283,51.45
國立臺灣大學,圖書資訊學系,國x1.25、英x1.25、歷x1.00、公x1.00,237,52.67
國立臺灣大學,日本語文學系,國x1.50、英x1.50、地x1.00、歷x1.00、公x1.00,313,52.17
國立臺灣大學,戲劇學系(男),國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,293,48.83
國立臺灣大學,戲劇學系(女),國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,302,50.33
國立臺灣大學,數學系,英x1.00、數Ax1.50、數甲x1.50、物x1.00、化x1.00,291.5,48.58
國立臺灣大學,物理學系,英x1.00、數甲x1.50、物x1.50、化x1.00,251,50.20
國立臺灣大學,化學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,245,49.00
國立臺灣大學,地質科學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,218,43.60
國立臺灣大學,心理學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,240,48.00
國立臺灣大學,地理環境資源學系A組,數甲x1.00、物x1.00、化x1.00,128,42.67
國立臺灣大學,地理環境資源學系B組,數Bx1.00、地x1.25、公x1.00,175.75,54.08
國立臺灣大學,大氣科學系,國x1.00、英x1.00、數甲x1.25、物x1.25、化x1.25,261.25,45.43
國立臺灣大學,政治學系政治理論組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,296.25,53.86
國立臺灣大學,政治學系國際關係組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,306.75,55.77
國立臺灣大學,政治學系公共行政組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,296.75,53.95
國立臺灣大學,經濟學系A組,英x1.50、自x1.00、數甲x2.00,220,48.89
國立臺灣大學,經濟學系B組,英x1.50、數Ax2.00、公x1.00,233,51.78
國立臺灣大學,社會學系,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.00,257,51.40
國立臺灣大學,社會工作學系,國x1.25、英x1.25、數Bx1.00、歷x1.00、公x1.00,273.5,49.73
國立臺灣大學,醫學系(自費),英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,283,56.60
國立臺灣大學,醫學系(公費),英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,258,51.60
國立臺灣大學,牙醫學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,275,55.00
國立臺灣大學,藥學系,英x1.00、數甲x1.00、物x1.00、化x2.00、生x2.00,360,51.43
國立臺灣大學,醫學檢驗暨生物技術學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,243,48.60
國立臺灣大學,護理學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,231,46.20
國立臺灣大學,物理治療學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,243,48.60
國立臺灣大學,職能治療學系,國x1.25、英x1.50、數甲x1.00、生x1.00,241.5,50.84
國立臺灣大學,土木工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,231,46.20
國立臺灣大學,機械工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,247,49.40
國立臺灣大學,化學工程學系,英x1.00、數甲x1.25、物x1.25、化x1.25,233,49.05
國立臺灣大學,工程科學及海洋工程學系,英x1.00、數甲x2.00、物x2.00、化x1.00,292,48.67
國立臺灣大學,材料科學與工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,259,51.80
國立臺灣大學,醫學工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,245,49.00
國立臺灣大學,農藝學系,國x1.00、英x1.00、數甲x1.00、化x1.25、生x1.25,244.75,44.50
國立臺灣大學,生物環境系統工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,225,45.00
國立臺灣大學,農業化學系,英x1.00、數甲x1.00、物x1.00、化x1.50、生x1.50,279.5,46.58
國立臺灣大學,森林環境暨資源學系,數甲x1.00、物x1.50、化x1.50、生x2.00,249.5,41.58
國立臺灣大學,動物科學技術學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,218,43.60
國立臺灣大學,農業經濟學系,英x1.00、數Ax1.00、自x2.00、數甲x2.00,266,44.33
國立臺灣大學,園藝暨景觀學系,國x1.00、英x1.00、數Ax1.00、化x1.00、生x1.50,255,46.36
國立臺灣大學,獸醫學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,252,50.40
國立臺灣大學,生物產業傳播暨發展學系,國x1.50、英x1.50、數Ax1.50、地x1.00、歷x1.00,313.5,48.23
國立臺灣大學,生物機電工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,239,47.80
國立臺灣大學,昆蟲學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,203,40.60
國立臺灣大學,植物病理與微生物學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,229,45.80
國立臺灣大學,工商管理學系企業管理組A組,英x1.00、數Ax1.00、數甲x1.00、地x1.00、歷x1.00,244,48.80
國立臺灣大學,工商管理學系企業管理組B組,英x1.00、數Ax1.00、地x1.00、歷x1.00、公x1.00,264,52.80
國立臺灣大學,工商管理學系科技管理組,英x1.00、數Ax1.00、數甲x1.00、物x1.00、化x1.00,237,47.40
國立臺灣大學,會計學系A組,國x1.00、英x1.50、數甲x1.50,205,51.25
國立臺灣大學,會計學系B組,國x1.25、英x1.50、數Ax1.25、地x1.00、公x1.00,308.25,51.38
國立臺灣大學,財務金融學系A組,國x1.00、英x1.50、數甲x2.00,236,52.44
國立臺灣大學,財務金融學系B組,英x1.50、地x1.00、歷x1.00、公x1.00,255.5,56.78
國立臺灣大學,國際企業學系A組,英x2.00、數甲x1.00、公x1.00,212,53.00
