校名,學系名稱,採計科目及加權(含學測、分科及術科),錄取分數,平均
國立臺灣大學,中國文學系,國x1.50、英x1.25、地x1.00、歷x1.25,264,52.80
國立臺灣大學,外國語文學系,國x1.25、英x2.00、數乙x1.00、地x1.00、歷x1.00,325.75,52.12
國立臺灣大學,歷史學系,國x1.00、英x1.00、地x1.00、歷x1.00、公x1.00,260,52.00
國立臺灣大學,哲學系,國x1.00、英x1.00、歷x1.00、公x1.00,199,49.75
國立臺灣大學,人類學系,國x1.00、英x1.50、地x1.00、歷x1.00、公x1.00,285.5,51.91
國立臺灣大學,圖書資訊學系,國x1.25、英x1.25、數乙x1.00、歷x1.00、公x1.00,283.5,51.55
國立臺灣大學,日本語文學系,國x1.50、英x1.50、地x1.00、歷x1.00、公x1.00,310,51.67
國立臺灣大學,戲劇學系(男),國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,278,46.33
國立臺灣大學,戲劇學系(女),國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,291.5,48.58
國立臺灣大學,數學系,英x1.00、數Ax1.50、數甲x1.50、物x1.00、化x1.00,306.5,51.08
國立臺灣大學,物理學系,英x1.00、數甲x1.50、物x1.50、化x1.00,280,56.00
國立臺灣大學,化學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,254,50.80
國立臺灣大學,地質科學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,236,47.20
國立臺灣大學,心理學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,253,50.60
國立臺灣大學,地理環境資源學系A組,數甲x1.00、物x1.00、化x1.00,143,47.67
國立臺灣大學,地理環境資源學系B組,數乙x1.00、地x1.25、公x1.00,181.5,55.85
國立臺灣大學,大氣科學系,國x1.00、英x1.00、數甲x1.25、物x1.25、化x1.25,274.5,47.74
國立臺灣大學,政治學系政治理論組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,292.25,53.14
國立臺灣大學,政治學系國際關係組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,301.75,54.86
國立臺灣大學,政治學系公共行政組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,293.25,53.32
國立臺灣大學,經濟學系A組,英x1.50、數甲x2.00、物x1.00,228,50.67
國立臺灣大學,經濟學系B組,英x1.50、數乙x2.00、地x1.00、歷x1.00、公x1.00,360,55.38
