校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
國立臺灣大學,公共衛生學系A組,---,數學甲(分科) x 1.25、英　文(學測) x 1.25、化　學(分科) x 1.00、生　物(分科) x 1.00、物　理(分科) x 1.00
國立臺灣大學,財務金融學系,---,國　文(學測) x 1.00、英　文(學測) x 1.50、數學乙(分科) x 2.00
國立臺灣大學,人類學系,---,英　文(學測) x 1.50、歷　史(分科) x 1.00、國　文(學測) x 1.00、地　理(分科) x 1.00、公民與社會(分科) x 1.00
國立臺灣大學,中國文學系,數學 A (均標)或 數學 B (均標),國　文(學測) x 1.50、英　文(學測) x 1.25、歷　史(分科) x 1.25、地　理(分科) x 1.00
國立臺灣大學,日本語文學系,數學 A (均標)或 數學 B (均標),英　文(學測) x 1.50、國　文(學測) x 1.50、歷　史(分科) x 1.00、地　理(分科) x 1.00、公民與社會(分科) x 1.00
國立臺灣大學,外國語文學系,英　聽 (Ａ級),英　文(學測) x 2.00、國　文(學測) x 1.25、歷　史(分科) x 1.00、地　理(分科) x 1.00、數學乙(分科) x 1.00
國立臺灣大學,哲學系,英　文 (前標) 數學 A (前標)或 數學 B (前標),英　文(學測) x 1.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣大學,圖書資訊學系,---,國　文(學測) x 1.25、英　文(學測) x 1.25、數學乙(分科) x 1.00、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣大學,歷史學系,數學 A (均標)或 數學 B (均標),歷　史(分科) x 1.00、國　文(學測) x 1.00、英　文(學測) x 1.00、地　理(分科) x 1.00、公民與社會(分科) x 1.00
國立臺灣大學,戲劇學系(男),---,英　文(學測) x 1.50、國　文(學測) x 1.50、數學 B(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣大學,法律學系司法組,國　文 (頂標) 英　文 (頂標),英　文(學測) x 1.00、國　文(學測) x 1.00、數學乙(分科) x 1.00、公民與社會(分科) x 1.25、歷　史(分科) x 1.00
國立臺灣大學,法律學系法學組,國　文 (頂標) 英　文 (頂標),英　文(學測) x 1.00、國　文(學測) x 1.00、數學乙(分科) x 1.00、公民與社會(分科) x 1.25、歷　史(分科) x 1.00
國立臺灣大學,法律學系財經法學組,國　文 (頂標) 英　文 (頂標),英　文(學測) x 1.00、國　文(學測) x 1.00、數學乙(分科) x 1.00、公民與社會(分科) x 1.25、歷　史(分科) x 1.00
國立臺灣大學,社會工作學系,---,英　文(學測) x 1.25、國　文(學測) x 1.25、數學 B(學測) x 1.00、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣大學,社會學系,國　文 (均標),英　文(學測) x 1.00、數學 A(學測) x 1.00、公民與社會(分科) x 1.00、地　理(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣大學,政治學系公共行政組,數學 A (均標)或 數學 B (前標),英　文(學測) x 1.25、國　文(學測) x 1.25、社　會(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣大學,政治學系政治理論組,數學 A (均標)或 數學 B (前標),英　文(學測) x 1.25、國　文(學測) x 1.25、社　會(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣大學,政治學系國際關係組,數學 A (均標)或 數學 B (前標),英　文(學測) x 1.25、國　文(學測) x 1.25、社　會(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣大學,經濟學系A組,---,數學甲(分科) x 2.00、英　文(學測) x 1.50、物　理(分科) x 1.00
國立臺灣大學,工商管理學系企業管理組,---,數學乙(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、地　理(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣大學,國際企業學系A組,---,英　文(學測) x 2.00、數學甲(分科) x 1.00、公民與社會(分科) x 1.00
國立臺灣大學,會計學系A組,---,數學乙(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00
國立臺灣大學,土木工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立臺灣大學,工商管理學系科技管理組,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立臺灣大學,化學工程學系,數學 A (前標),化　學(分科) x 1.50、物　理(分科) x 1.50、數學甲(分科) x 1.25、英　文(學測) x 1.00
國立臺灣大學,工程科學及海洋工程學系,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、英　文(學測) x 1.00、化　學(分科) x 1.00
國立臺灣大學,資訊工程學系,---,數學甲(分科) x 1.25、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
國立臺灣大學,資訊管理學系,---,數學甲(分科) x 1.50、英　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立臺灣大學,生物環境系統工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,生物機電工程學系,國　文 (均標) 英　文 (均標),數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,電機工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
國立臺灣大學,機械工程學系,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,材料科學與工程學系,數學 A (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,大氣科學系,英　文 (均標) 自　然 (前標),數學甲(分科) x 1.25、物　理(分科) x 1.25、化　學(分科) x 1.25、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,化學系,國　文 (均標) 英　文 (均標),化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00、國　文(學測) x 1.00
國立臺灣大學,地理環境資源學系A組,英　文 (均標),數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立臺灣大學,地質科學系,自　然 (前標),數學甲(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、物　理(分科) x 1.00、國　文(學測) x 1.00
國立臺灣大學,物理學系,自　然 (均標),物　理(分科) x 1.50、數學甲(分科) x 1.50、英　文(學測) x 1.00、化　學(分科) x 1.00
